class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.4173596203327179,0.329305,0.08805462033271788,26.74%,0.9980765581130981,0.998382,-0.00030544188690184715,-0.03%,2.134502649307251,1.912323,0.22217964930725098,11.62%,0.9961681365966797,0.996772,-0.0006038634033203039,-0.06%
1,3.5345959663391113,4.931058,-1.3964620336608888,-28.32%,0.5408682823181152,0.508109,0.0327592823181152,6.45%,12.128416061401367,16.61519,-4.486773938598631,-27.00%,0.38191112875938416,0.351674,0.03023712875938417,8.60%
2,8.515340805053711,4.420581,4.094759805053711,92.63%,0.7799630761146545,0.861276,-0.0813129238853455,-9.44%,21.162866592407227,11.993433,9.169433592407227,76.45%,0.6898362636566162,0.769862,-0.08002573634338384,-10.39%
3,3.5827577114105225,3.382683,0.20007471141052235,5.91%,0.8548576831817627,0.794462,0.060395683181762694,7.60%,22.338769912719727,15.918163,6.420606912719727,40.34%,0.7493560314178467,0.667255,0.08210103141784664,12.30%
4,3.491048812866211,3.075027,0.416021812866211,13.53%,0.8339043855667114,0.770916,0.06298838556671138,8.17%,12.647735595703125,11.537312,1.110423595703125,9.62%,0.7226715087890625,0.638944,0.08372750878906254,13.10%
