class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.32749640941619873,0.329305,-0.001808590583801284,-0.55%,0.9983634352684021,0.998382,-1.856473159789207e-05,-0.00%,1.9447741508483887,1.912323,0.03245115084838868,1.70%,0.9967366456985474,0.996772,-3.535430145262808e-05,-0.00%
1,5.0018310546875,4.931058,0.07077305468749984,1.44%,0.4827406406402588,0.508109,-0.025368359359741244,-4.99%,14.764022827148438,16.61519,-1.8511671728515608,-11.14%,0.3319394290447235,0.351674,-0.019734570955276476,-5.61%
2,6.6217041015625,4.420581,2.2011231015624997,49.79%,0.8594890832901001,0.861276,-0.0017869167098999439,-0.21%,19.86035919189453,11.993433,7.866926191894532,65.59%,0.7717578411102295,0.769862,0.001895841110229446,0.25%
3,2.8881776332855225,3.382683,-0.49450536671447765,-14.62%,0.7905657291412354,0.794462,-0.00389627085876465,-0.49%,10.383781433105469,15.918163,-5.534381566894531,-34.77%,0.6702960729598999,0.667255,0.00304107295989986,0.46%
4,2.876859664916992,3.075027,-0.19816733508300777,-6.44%,0.7833081483840942,0.770916,0.012392148384094193,1.61%,12.218282699584961,11.537312,0.6809706995849609,5.90%,0.6588436365127563,0.638944,0.01989963651275639,3.11%
