class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.39355555,0.06764516,0.9983676,0.00012111664,2.0344806,0.35311973,0.9967445,0.0002411902
1,3.1384454,0.13510036,0.5431974,0.0181247,11.347803,0.6412883,0.38316852,0.017464414
2,9.236387,4.2983994,0.8559349,0.009850025,28.095467,11.321725,0.76268834,0.0151898265
3,2.1007867,0.53317636,0.8400035,0.02051577,10.67715,2.0722895,0.7279459,0.029855937
4,2.6624541,0.018282771,0.8240278,0.012274861,11.10097,0.021315575,0.7078828,0.015649974
