class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.35885030031204224,0.329305,0.029545300312042222,8.97%,0.9982714653015137,0.998382,-0.0001105346984863198,-0.01%,1.9735305309295654,1.912323,0.061207530929565435,3.20%,0.9965544939041138,0.996772,-0.00021750609588622183,-0.02%
1,3.802650213241577,4.931058,-1.128407786758423,-22.88%,0.5061726570129395,0.508109,-0.0019363429870605797,-0.38%,14.718419075012207,16.61519,-1.8967709249877913,-11.42%,0.3493661880493164,0.351674,-0.0023078119506835804,-0.66%
2,6.306184768676758,4.420581,1.8856037686767575,42.66%,0.8351389169692993,0.861276,-0.026137083030700725,-3.03%,21.486778259277344,11.993433,9.493345259277344,79.15%,0.7465223073959351,0.769862,-0.023339692604064988,-3.03%
3,3.378371000289917,3.382683,-0.004311999710083114,-0.13%,0.7904282808303833,0.794462,-0.004033719169616701,-0.51%,17.654014587402344,15.918163,1.735851587402344,10.90%,0.673552393913269,0.667255,0.0062973939132690004,0.94%
4,3.39924955368042,3.075027,0.32422255368041997,10.54%,0.8046046495437622,0.770916,0.03368864954376216,4.37%,17.46963119506836,11.537312,5.932319195068359,51.42%,0.6841273903846741,0.638944,0.045183390384674116,7.07%
