class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.34936273,0.02053602,0.99822795,0.00011399389,2.1062956,0.069360614,0.99646837,0.00022524595
1,4.754328,0.54108167,0.5082557,0.004380673,13.202934,1.7552853,0.36233503,0.0027188212
2,5.1334043,0.6241298,0.8236828,0.025342733,13.351476,1.2902889,0.7327615,0.024207562
3,3.13061,0.3296708,0.77854764,0.006765336,11.415934,0.18759155,0.6705425,0.004020095
4,2.7560558,0.1314882,0.7925644,0.013121724,10.022801,0.37511253,0.6721635,0.016616404
