class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.3397297,0.025011554,0.9983105,0.00014628792,2.034341,0.034127783,0.99663234,0.0002908032
1,3.482179,0.52995044,0.53828293,0.031312212,14.216947,4.713466,0.38000822,0.028995357
2,5.422804,0.39298353,0.8375106,0.028389884,18.275484,3.0350316,0.74881786,0.035540543
3,3.025199,0.09513208,0.8519694,0.007571216,23.99687,4.7590218,0.7453068,0.011190257
4,2.8670995,0.24081212,0.81856686,0.009004802,14.272083,1.8938453,0.7030961,0.010385139
