class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.3439244,0.029856293,0.9983379,0.00014008558,1.945805,0.14079297,0.9966865,0.000277723
1,3.6959593,0.2307264,0.5035975,0.009594913,13.675937,2.2567387,0.34733304,0.01104481
2,5.577746,1.0346856,0.8462739,0.029397566,17.895002,5.1116104,0.7606234,0.031732544
3,2.879733,0.7755088,0.80099314,0.01799624,14.729332,7.5476966,0.68265724,0.01444192
4,3.3157852,0.44421694,0.8152464,0.015795728,17.620144,4.144695,0.69740963,0.02111761
