class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.39355555176734924,0.329305,0.06425055176734923,19.51%,0.9983676075935364,0.998382,-1.4392406463614726e-05,-0.00%,2.034480571746826,1.912323,0.12215757174682618,6.39%,0.9967445135116577,0.996772,-2.7486488342276516e-05,-0.00%
1,3.1384453773498535,4.931058,-1.7926126226501466,-36.35%,0.5431973934173584,0.508109,0.035088393417358366,6.91%,11.347803115844727,16.61519,-5.267386884155272,-31.70%,0.3831685185432434,0.351674,0.03149451854324342,8.96%
2,9.236387252807617,4.420581,4.815806252807617,108.94%,0.8559349179267883,0.861276,-0.0053410820732117115,-0.62%,28.09546661376953,11.993433,16.10203361376953,134.26%,0.7626883387565613,0.769862,-0.007173661243438767,-0.93%
3,2.1007866859436035,3.382683,-1.2818963140563966,-37.90%,0.840003490447998,0.794462,0.045541490447998045,5.73%,10.677149772644043,15.918163,-5.241013227355957,-32.92%,0.7279459238052368,0.667255,0.060690923805236774,9.10%
4,2.662454128265381,3.075027,-0.4125728717346191,-13.42%,0.8240277767181396,0.770916,0.0531117767181396,6.89%,11.100970268249512,11.537312,-0.4363417317504883,-3.78%,0.707882821559906,0.638944,0.06893882155990605,10.79%
