class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.29806125,0.010898874,0.99850297,3.66267e-05,1.6575254,0.12871209,0.9970133,7.249978e-05
1,3.3369877,0.09043551,0.49853158,0.0065741376,11.227109,0.57646966,0.34440187,0.0041612876
2,4.8918614,0.9926246,0.8752238,0.006415879,16.074884,4.11893,0.78928834,0.0075582033
3,2.140258,0.4639099,0.82638687,0.0057106093,8.664031,0.82657915,0.70789075,0.0071513965
4,3.216017,0.26015294,0.79529613,0.012035002,13.258626,1.0068454,0.67190236,0.013289761
