class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,37.03886413574219,0.329305,36.70955913574219,11147.59%,0.674896240234375,0.998382,-0.323485759765625,-32.40%,114.72480773925781,1.912323,112.81248473925781,5899.24%,0.5194183588027954,0.996772,-0.4773536411972046,-47.89%
1,178.82131958007812,4.931058,173.89026158007812,3526.43%,0.00016999986837618053,0.508109,-0.5079390001316239,-99.97%,214.8367156982422,16.61519,198.2215256982422,1193.01%,8.503931167069823e-05,0.351674,-0.3515889606883293,-99.98%
2,202.28195190429688,4.420581,197.86137090429688,4475.91%,0.0,0.861276,-0.861276,-100.00%,242.8299560546875,11.993433,230.8365230546875,1924.69%,0.0,0.769862,-0.769862,-100.00%
3,199.86798095703125,3.382683,196.48529795703126,5808.56%,0.0010390381794422865,0.794462,-0.7934229618205577,-99.87%,191.100830078125,15.918163,175.182667078125,1100.52%,0.0005198611179366708,0.667255,-0.6667351388820634,-99.92%
4,165.4493408203125,3.075027,162.3743138203125,5280.42%,0.0,0.770916,-0.770916,-100.00%,209.8699493408203,11.537312,198.33263734082033,1719.05%,0.0,0.638944,-0.638944,-100.00%
