class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.33481264,0.011803484,0.9983349,3.2516196e-05,1.9869753,0.11010546,0.9966817,6.5281725e-05
1,2.9087334,0.14383422,0.56325144,0.014218246,10.757543,0.2862497,0.40270403,0.01210382
2,4.76413,0.71755844,0.84632665,0.007552798,14.864078,2.7214868,0.7632406,0.010429196
3,2.0924695,0.2676021,0.8367035,0.010498375,10.52978,0.6764806,0.72298735,0.0150865335
4,2.4018357,0.3012452,0.8395608,0.0059670573,10.48879,0.97344106,0.72911453,0.008318176
