class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.3439244031906128,0.329305,0.014619403190612779,4.44%,0.9983379244804382,0.998382,-4.407551956175926e-05,-0.00%,1.9458049535751343,1.912323,0.03348195357513428,1.75%,0.9966865181922913,0.996772,-8.54818077087316e-05,-0.01%
1,3.6959593296051025,4.931058,-1.2350986703948976,-25.05%,0.5035974979400635,0.508109,-0.004511502059936556,-0.89%,13.675936698913574,16.61519,-2.939253301086424,-17.69%,0.34733304381370544,0.351674,-0.004340956186294542,-1.23%
2,5.5777459144592285,4.420581,1.1571649144592282,26.18%,0.8462738990783691,0.861276,-0.015002100921630901,-1.74%,17.895002365112305,11.993433,5.901569365112305,49.21%,0.7606233954429626,0.769862,-0.0092386045570374,-1.20%
3,2.879733085632324,3.382683,-0.5029499143676759,-14.87%,0.8009931445121765,0.794462,0.006531144512176512,0.82%,14.729331970214844,15.918163,-1.188831029785156,-7.47%,0.6826572418212891,0.667255,0.01540224182128902,2.31%
4,3.3157851696014404,3.075027,0.24075816960144047,7.83%,0.8152464032173157,0.770916,0.04433040321731563,5.75%,17.62014389038086,11.537312,6.082831890380859,52.72%,0.6974096298217773,0.638944,0.05846562982177739,9.15%
