class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.41735962,0.0947071,0.99807656,0.00036105514,2.1345026,0.44227338,0.99616814,0.00071778893
1,3.534596,0.6506561,0.5408683,0.024885684,12.128416,0.9151387,0.38191113,0.022408247
2,8.515341,3.1808348,0.7799631,0.074532926,21.162867,1.101284,0.68983626,0.08480945
3,3.5827577,0.82227826,0.8548577,0.009625375,22.33877,8.755851,0.74935603,0.015089154
4,3.4910488,1.1060973,0.8339044,0.00811553,12.647736,5.5926437,0.7226715,0.013159841
