class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.3274964,0.027980119,0.99836344,0.00012880564,1.9447742,0.228715,0.99673665,0.00025644898
1,5.001831,0.35848713,0.48274064,0.016600773,14.764023,0.25643682,0.33193943,0.011720628
2,6.621704,0.98950434,0.8594891,0.0165236,19.86036,0.8927727,0.77175784,0.023591071
3,2.8881776,0.4251082,0.7905657,0.004403442,10.383781,0.5094571,0.6702961,0.00723505
4,2.8768597,0.18629134,0.78330815,0.029184818,12.218283,1.7189174,0.65884364,0.035532683
