class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.33481264114379883,0.329305,0.005507641143798814,1.67%,0.9983348846435547,0.998382,-4.711535644530418e-05,-0.00%,1.9869753122329712,1.912323,0.0746523122329712,3.90%,0.9966816902160645,0.996772,-9.030978393553823e-05,-0.01%
1,2.908733367919922,4.931058,-2.0223246320800783,-41.01%,0.5632514357566833,0.508109,0.05514243575668332,10.85%,10.757542610168457,16.61519,-5.857647389831541,-35.25%,0.40270403027534485,0.351674,0.05103003027534486,14.51%
2,4.764130115509033,4.420581,0.3435491155090329,7.77%,0.8463266491889954,0.861276,-0.01494935081100468,-1.74%,14.8640775680542,11.993433,2.8706445680541997,23.94%,0.7632405757904053,0.769862,-0.006621424209594773,-0.86%
3,2.0924694538116455,3.382683,-1.2902135461883546,-38.14%,0.8367034792900085,0.794462,0.04224147929000854,5.32%,10.529780387878418,15.918163,-5.388382612121582,-33.85%,0.7229873538017273,0.667255,0.05573235380172725,8.35%
4,2.4018356800079346,3.075027,-0.6731913199920654,-21.89%,0.8395608067512512,0.770916,0.06864480675125118,8.90%,10.488789558410645,11.537312,-1.0485224415893555,-9.09%,0.7291145324707031,0.638944,0.09017053247070317,14.11%
