class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.29852852,0.0,0.9985439,0.0,1.766717,0.0,0.9970949,0.0
1,2.5301068,0.0,0.5957921,0.0,9.362322,0.0,0.43222937,0.0
2,5.3023853,0.0,0.8863083,0.0,19.779049,0.0,0.8044494,0.0
3,1.7262875,0.0,0.8216034,0.0,9.400539,0.0,0.70160544,0.0
4,3.0199678,0.0,0.8164241,0.0,12.539472,0.0,0.69664633,0.0
