class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.3588503,0.025860175,0.99827147,0.00012731552,1.9735305,0.16561359,0.9965545,0.00025177002
1,3.8026502,0.21378303,0.50617266,0.010871962,14.718419,2.0926046,0.3493662,0.013060659
2,6.306185,0.11828685,0.8351389,0.030403286,21.486778,0.70020676,0.7465223,0.03023094
3,3.378371,0.39522362,0.7904283,0.012286216,17.654015,7.7324185,0.6735524,0.008009821
4,3.3992496,0.52449405,0.80460465,0.005874723,17.469631,5.0694947,0.6841274,0.011818349
