class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.2980612516403198,0.329305,-0.03124374835968019,-9.49%,0.9985029697418213,0.998382,0.00012096974182129738,0.01%,1.6575254201889038,1.912323,-0.2547975798110962,-13.32%,0.99701327085495,0.996772,0.0002412708549499598,0.02%
1,3.3369877338409424,4.931058,-1.5940702661590578,-32.33%,0.4985315799713135,0.508109,-0.009577420028686556,-1.88%,11.2271089553833,16.61519,-5.388081044616698,-32.43%,0.34440186619758606,0.351674,-0.007272133802413927,-2.07%
2,4.891861438751221,4.420581,0.4712804387512204,10.66%,0.8752238154411316,0.861276,0.01394781544113155,1.62%,16.07488441467285,11.993433,4.081451414672852,34.03%,0.789288341999054,0.769862,0.01942634199905391,2.52%
3,2.1402580738067627,3.382683,-1.2424249261932374,-36.73%,0.8263868689537048,0.794462,0.03192486895370483,4.02%,8.664031028747559,15.918163,-7.254131971252441,-45.57%,0.7078907489776611,0.667255,0.04063574897766109,6.09%
4,3.216017007827759,3.075027,0.14099000782775883,4.59%,0.7952961325645447,0.770916,0.024380132564544632,3.16%,13.258625984191895,11.537312,1.7213139841918945,14.92%,0.6719023585319519,0.638944,0.03295835853195195,5.16%
