class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.34936273097991943,0.329305,0.02005773097991942,6.09%,0.9982279539108276,0.998382,-0.00015404608917235496,-0.02%,2.106295585632324,1.912323,0.19397258563232422,10.14%,0.9964683651924133,0.996772,-0.0003036348075866613,-0.03%
1,4.754327774047852,4.931058,-0.1767302259521486,-3.58%,0.5082557201385498,0.508109,0.00014672013854977184,0.03%,13.202934265136719,16.61519,-3.4122557348632796,-20.54%,0.3623350262641907,0.351674,0.010661026264190687,3.03%
2,5.13340425491333,4.420581,0.7128232549133298,16.13%,0.8236827850341797,0.861276,-0.037593214965820354,-4.36%,13.351475715637207,11.993433,1.3580427156372075,11.32%,0.7327615022659302,0.769862,-0.03710049773406987,-4.82%
3,3.1306099891662598,3.382683,-0.25207301083374034,-7.45%,0.7785476446151733,0.794462,-0.01591435538482666,-2.00%,11.415933609008789,15.918163,-4.502229390991211,-28.28%,0.6705424785614014,0.667255,0.0032874785614013247,0.49%
4,2.7560558319091797,3.075027,-0.31897116809082027,-10.37%,0.7925643920898438,0.770916,0.021648392089843704,2.81%,10.022801399230957,11.537312,-1.514510600769043,-13.13%,0.6721634864807129,0.638944,0.033219486480712934,5.20%
