class,assd_optimizer,assd_baseline,dice_optimizer,dice_baseline,hd95_optimizer,hd95_baseline,jaccard_optimizer,jaccard_baseline,assd_diff,assd_diff_pct,dice_diff,dice_diff_pct,hd95_diff,hd95_diff_pct,jaccard_diff,jaccard_diff_pct
0,3.680886981162158,0.329305,0.9689298217946832,0.9983819999999999,12.19795081832192,1.912323,0.9532899856567383,0.996772,3.3515819811621577,1017.77%,-0.029452178205316648,-2.95%,10.285627818321919,537.86%,-0.04348201434326171,-4.36%
1,19.48568151213906,4.931058,0.48683868822461757,0.508109,30.693873838944867,16.61519,0.3440093247614145,0.351674,14.55462351213906,295.16%,-0.021270311775382467,-4.19%,14.078683838944869,84.73%,-0.007664675238585494,-2.18%
2,23.98983860015869,4.420581,0.7677598162130876,0.861276,39.508379676125266,11.993433,0.6885705156759783,0.7698619999999999,19.569257600158693,442.69%,-0.0935161837869124,-10.86%,27.514946676125266,229.42%,-0.08129148432402167,-10.56%
3,20.51366266337308,3.382683,0.7482657983518121,0.794462,29.550762349909004,15.918163,0.6452445432395589,0.667255,17.13097966337308,506.43%,-0.04619620164818794,-5.81%,13.632599349909004,85.64%,-0.02201045676044111,-3.3%
4,17.689781232313678,3.075027,0.7410967946052551,0.770916,30.3651065826416,11.537312,0.6347608945586465,0.638944,14.614754232313677,475.27%,-0.02981920539474492,-3.87%,18.8277945826416,163.19%,-0.004183105441353474,-0.65%
Overall Average,17.071970197829334,3.2277308,0.7425781838378912,0.786629,28.463214653188533,11.5952842,0.6531750527784673,0.6849014,13.844239397829332,428.92%,-0.044050816162108875,-5.6%,16.86793045318853,145.47%,-0.03172634722153269,-4.63%
