class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.3397296965122223,0.329305,0.010424696512222276,3.17%,0.9983105063438416,0.998382,-7.149365615843895e-05,-0.01%,2.0343410968780518,1.912323,0.12201809687805176,6.38%,0.9966323375701904,0.996772,-0.00013966242980956167,-0.01%
1,3.4821789264678955,4.931058,-1.4488790735321047,-29.38%,0.5382829308509827,0.508109,0.030173930850982633,5.94%,14.216946601867676,16.61519,-2.3982433981323226,-14.43%,0.3800082206726074,0.351674,0.028334220672607435,8.06%
2,5.42280387878418,4.420581,1.0022228787841794,22.67%,0.8375105857849121,0.861276,-0.023765414215087932,-2.76%,18.275484085083008,11.993433,6.282051085083008,52.38%,0.7488178610801697,0.769862,-0.02104413891983037,-2.73%
3,3.0251989364624023,3.382683,-0.35748406353759776,-10.57%,0.8519694209098816,0.794462,0.05750742090988159,7.24%,23.996870040893555,15.918163,8.078707040893555,50.75%,0.7453067898750305,0.667255,0.07805178987503048,11.70%
4,2.8670995235443115,3.075027,-0.20792747645568843,-6.76%,0.8185668587684631,0.770916,0.04765085876846309,6.18%,14.272083282470703,11.537312,2.734771282470703,23.70%,0.7030960917472839,0.638944,0.06415209174728398,10.04%
