class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.2985285222530365,0.329305,-0.030776477746963515,-9.35%,0.998543918132782,0.998382,0.00016191813278199074,0.02%,1.7667169570922852,1.912323,-0.14560604290771484,-7.61%,0.9970949292182922,0.996772,0.00032292921829224497,0.03%
1,2.530106782913208,4.931058,-2.400951217086792,-48.69%,0.5957921147346497,0.508109,0.08768311473464963,17.26%,9.362321853637695,16.61519,-7.252868146362303,-43.65%,0.4322293698787689,0.351674,0.08055536987876893,22.91%
2,5.302385330200195,4.420581,0.881804330200195,19.95%,0.8863083124160767,0.861276,0.02503231241607662,2.91%,19.779048919677734,11.993433,7.785615919677735,64.92%,0.8044493794441223,0.769862,0.03458737944412227,4.49%
3,1.7262874841690063,3.382683,-1.6563955158309938,-48.97%,0.8216034173965454,0.794462,0.02714141739654541,3.42%,9.40053939819336,15.918163,-6.5176236018066405,-40.94%,0.7016054391860962,0.667255,0.03435043918609615,5.15%
4,3.019967794418335,3.075027,-0.055059205581664994,-1.79%,0.8164240717887878,0.770916,0.045508071788787796,5.90%,12.539471626281738,11.537312,1.0021596262817383,8.69%,0.6966463327407837,0.638944,0.057702332740783735,9.03%
