class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.33313593,0.02354168,0.9983325,0.00012697792,1.813509,0.12623194,0.9966771,0.0002520934
1,3.0313199,0.21996208,0.5779628,0.0023644352,11.070381,0.7222908,0.41595376,0.0030630087
2,5.4120708,1.1823583,0.84577984,0.021298178,18.811779,5.5879164,0.76491326,0.023477875
3,1.7173914,0.20940073,0.8388187,0.014700972,8.896686,1.0354538,0.7276869,0.017153343
4,2.4476647,0.361413,0.8438075,0.011571935,10.127831,1.4034138,0.7359217,0.015902199
