class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.3331359326839447,0.329305,0.0038309326839446878,1.16%,0.9983325004577637,0.998382,-4.9499542236319805e-05,-0.00%,1.8135089874267578,1.912323,-0.09881401257324218,-5.17%,0.9966771006584167,0.996772,-9.489934158324331e-05,-0.01%
1,3.0313198566436768,4.931058,-1.8997381433563234,-38.53%,0.5779628157615662,0.508109,0.06985381576156613,13.75%,11.070381164550781,16.61519,-5.544808835449217,-33.37%,0.41595375537872314,0.351674,0.06427975537872316,18.28%
2,5.4120707511901855,4.420581,0.9914897511901852,22.43%,0.8457798361778259,0.861276,-0.015496163822174114,-1.80%,18.811779022216797,11.993433,6.818346022216797,56.85%,0.7649132609367371,0.769862,-0.004948739063262986,-0.64%
3,1.7173913717269897,3.382683,-1.6652916282730104,-49.23%,0.8388187289237976,0.794462,0.044356728923797606,5.58%,8.896685600280762,15.918163,-7.021477399719238,-44.11%,0.727686882019043,0.667255,0.060431882019042926,9.06%
4,2.447664737701416,3.075027,-0.6273622622985839,-20.40%,0.8438075184822083,0.770916,0.0728915184822082,9.46%,10.12783145904541,11.537312,-1.4094805409545899,-12.22%,0.7359216809272766,0.638944,0.09697768092727665,15.18%
