class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.4178869128227234,0.329305,0.08858191282272337,26.90%,0.9980565905570984,0.998382,-0.000325409442901603,-0.03%,2.777589797973633,1.912323,0.8652667979736328,45.25%,0.9961234331130981,0.996772,-0.0006485668869018468,-0.07%
1,8.732844352722168,4.931058,3.801786352722168,77.10%,0.2569456994533539,0.508109,-0.25116330054664615,-49.43%,27.82425880432129,16.61519,11.20906880432129,67.46%,0.1536833494901657,0.351674,-0.19799065050983428,-56.30%
2,5.275750637054443,4.420581,0.855169637054443,19.35%,0.8234724998474121,0.861276,-0.03780350015258793,-4.39%,13.383328437805176,11.993433,1.3898954378051762,11.59%,0.7133622169494629,0.769862,-0.056499783050537156,-7.34%
3,3.541623592376709,3.382683,0.15894059237670888,4.70%,0.6398729085922241,0.794462,-0.15458909140777588,-19.46%,13.377629280090332,15.918163,-2.540533719909668,-15.96%,0.4835233688354492,0.667255,-0.18373163116455082,-27.54%
4,5.050673007965088,3.075027,1.975646007965088,64.25%,0.7034090161323547,0.770916,-0.06750698386764531,-8.76%,17.72028160095215,11.537312,6.182969600952148,53.59%,0.5531072616577148,0.638944,-0.08583673834228511,-13.43%
