class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.4178869,0.0,0.9980566,0.0,2.7775898,0.0,0.99612343,0.0
1,8.732844,0.0,0.2569457,0.0,27.824259,0.0,0.15368335,0.0
2,5.2757506,0.0,0.8234725,0.0,13.383328,0.0,0.7133622,0.0
3,3.5416236,0.0,0.6398729,0.0,13.377629,0.0,0.48352337,0.0
4,5.050673,0.0,0.703409,0.0,17.720282,0.0,0.55310726,0.0
