class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.6960733532905579,0.329305,0.36676835329055785,111.38%,0.9976391196250916,0.998382,-0.0007428803749084389,-0.07%,3.7243611812591553,1.912323,1.8120381812591553,94.76%,0.9952922463417053,0.996772,-0.001479753658294669,-0.15%
1,46.5894775390625,4.931058,41.6584195390625,844.82%,0.00688464380800724,0.508109,-0.5012243561919928,-98.65%,82.01521301269531,16.61519,65.40002301269531,393.62%,0.0034623583778738976,0.351674,-0.3482116416221261,-99.02%
2,,4.420581,,nan%,0.006570354104042053,0.861276,-0.854705645895958,-99.24%,,11.993433,,nan%,0.003492130897939205,0.769862,-0.7663698691020608,-99.55%
3,,3.382683,,nan%,0.0,0.794462,-0.794462,-100.00%,,15.918163,,nan%,0.0,0.667255,-0.667255,-100.00%
4,,3.075027,,nan%,0.0,0.770916,-0.770916,-100.00%,,11.537312,,nan%,0.0,0.638944,-0.638944,-100.00%
