class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.32451629638671875,0.329305,-0.004788703613281264,-1.45%,0.9984024167060852,0.998382,2.04167060852134e-05,0.00%,1.9807430505752563,1.912323,0.06842005057525635,3.58%,0.9968132972717285,0.996772,4.1297271728524265e-05,0.00%
1,20.032163619995117,4.931058,15.101105619995117,306.24%,0.38347843289375305,0.508109,-0.12463056710624698,-24.53%,42.31361770629883,16.61519,25.69842770629883,154.67%,0.2551325857639313,0.351674,-0.09654141423606871,-27.45%
2,5.3948974609375,4.420581,0.9743164609374997,22.04%,0.830421507358551,0.861276,-0.030854492641449016,-3.58%,13.43991756439209,11.993433,1.4464845643920903,12.06%,0.7307166457176208,0.769862,-0.0391453542823792,-5.08%
3,2.6275477409362793,3.382683,-0.7551352590637208,-22.32%,0.7741653323173523,0.794462,-0.020296667682647707,-2.55%,11.756343841552734,15.918163,-4.1618191584472655,-26.15%,0.6421768665313721,0.667255,-0.025078133468627972,-3.76%
4,3.0309512615203857,3.075027,-0.04407573847961421,-1.43%,0.7723811268806458,0.770916,0.0014651268806457063,0.19%,12.506561279296875,11.537312,0.969249279296875,8.40%,0.6432350277900696,0.638944,0.004291027790069624,0.67%
