class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.3245163,0.019840004,0.9984024,0.000112615555,1.980743,0.18490317,0.9968133,0.00022408781
1,20.032164,3.4333887,0.38347843,0.0047118585,42.313618,7.018207,0.2551326,0.0068379072
2,5.3948975,0.49129155,0.8304215,0.014431451,13.439918,0.59952205,0.73071665,0.014499251
3,2.6275477,0.6121937,0.77416533,0.019186698,11.756344,3.0903578,0.64217687,0.024137583
4,3.0309513,0.32026047,0.7723811,0.022234231,12.506561,2.0406616,0.643235,0.023800518
