class,assd_optimizer,assd_baseline,assd_diff,assd_diff_pct,dice_optimizer,dice_baseline,dice_diff,dice_diff_pct,hd95_optimizer,hd95_baseline,hd95_diff,hd95_diff_pct,jaccard_optimizer,jaccard_baseline,jaccard_diff,jaccard_diff_pct
0,0.3785916864871979,0.329305,0.04928668648719786,14.97%,0.9981985092163086,0.998382,-0.00018349078369139793,-0.02%,2.2585012912750244,1.912323,0.3461782912750244,18.10%,0.9964067339897156,0.996772,-0.0003652660102844152,-0.04%
1,10.30767822265625,4.931058,5.37662022265625,109.04%,0.36894741654396057,0.508109,-0.13916158345603946,-27.39%,36.208316802978516,16.61519,19.593126802978517,117.92%,0.23600955307483673,0.351674,-0.11566444692516326,-32.89%
2,5.170725345611572,4.420581,0.750144345611572,16.97%,0.8408406376838684,0.861276,-0.020435362316131633,-2.37%,16.99284553527832,11.993433,4.999412535278321,41.68%,0.7400538325309753,0.769862,-0.029808167469024704,-3.87%
3,5.3033833503723145,3.382683,1.9207003503723143,56.78%,0.6750079989433289,0.794462,-0.11945400105667114,-15.04%,22.19933319091797,15.918163,6.281170190917969,39.46%,0.5257198810577393,0.667255,-0.14153511894226078,-21.21%
4,3.9716641902923584,3.075027,0.8966371902923584,29.16%,0.741400420665741,0.770916,-0.02951557933425908,-3.83%,17.00404167175293,11.537312,5.46672967175293,47.38%,0.6018760204315186,0.638944,-0.0370679795684814,-5.80%
