class,assd_mean,assd_std,dice_mean,dice_std,hd95_mean,hd95_std,jaccard_mean,jaccard_std
0,0.3785917,0.022887683,0.9981985,0.000116110765,2.2585013,0.18941727,0.99640673,0.00023103789
1,10.307678,4.281692,0.36894742,0.045363545,36.208317,11.664047,0.23600955,0.035031162
2,5.1707253,0.3224929,0.84084064,0.0112870885,16.992846,5.1394825,0.74005383,0.01481228
3,5.3033834,2.9517007,0.675008,0.10105318,22.199333,12.625121,0.5257199,0.10518399
4,3.9716642,0.47628802,0.7414004,0.024408016,17.004042,5.21108,0.601876,0.028779132
